ID,Investors Count,Select Inverstors,Total Raised($)
UC_0,28,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group",7440000000.0
UC_1,29,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",6874000000.0
UC_2,39,"Khosla Ventures, LowercaseCapital, capitalG",2901000000.0
UC_3,56,"Institutional Venture Partners, Sequoia Capital, General Atlantic",3472000000.0
UC_4,25,"Tencent Holdings, KKR, Smash Ventures",4377000000.0
UC_5,26,"Sequoia Capital China, Blackbird Ventures, Matrix Partners",571260000.0
UC_6,15,"Tiger Global Management, Insight Partners, DST Global",1830000000.0
UC_7,29,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund",2686000000.0
UC_8,29,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",3497000000.0
UC_9,31,"index Ventures, DST Global, Ribbit Capital",1716000000.0
UC_10,40,None,1829000000.0
UC_11,21,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",4190000000.0000005
UC_12,24,"Forerunner Ventures, Crosslink Capital, Homebrew",2599000000.0
UC_13,45,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India",5183000000.0
UC_14,9,"GGV Capital, ZhenFund, Tencent",917500000.0
UC_15,9,"Hillhouse Capital Management, Boyu Capital, Sequoia Capital China",4653000000.0
UC_16,18,"Accel, AltaIR Capital, Technology Crossover Ventures",4750000000.0
UC_17,18,"Tencent Holdings, Warbug Pincus, IDG Capital",4043999999.9999995
UC_18,7,"Accel Partners, Sequoia Capital",1135000000.0
UC_19,8,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners",553360000.0
UC_20,16,"Accel, Softbank Group, Anthos Capital",3397000000.0
UC_21,13,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital",721310000.0
UC_22,34,"IDG Capital, Venture51, Lightspeed Venture Partners",293900000.0
UC_23,24,"New Enterprise Associates, Spar Capital, Index Ventures",734800000.0
UC_24,26,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures",425120000.0
UC_25,8,"General Catalyst, Institutional Venture Partners, Breyer Capital",4000000000.0
UC_26,16,"Andreessen Horowitz, F-Prime Capital, Venrock",1969000000.0
UC_27,14,"Khosla Ventures, Forerunner Ventures, Sequoia Capital",1096000000.0
UC_28,28,"DST Global, Ribbit Capital, Greenoaks Capital Management",1490000000.0
UC_29,28,Tiger Global Management,1490000000.0
UC_30,28,"Coatue Management, Sequoia Capital China, IDG Capital",1490000000.0
UC_31,10,"Vickers Venture Partners, IKEA GreenTech",561500000.0
UC_32,8,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management",1800000000.0
UC_33,41,"Caffeinated Capital, CRV, Founder Collective",1353000000.0
UC_34,19,"LTW Capital, Legend Capital, Qualcomm Ventures",210830000.0
UC_35,6,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group",6255000000.0
UC_36,13,"Accel, 83North",1368000000.0
UC_37,37,"Activant Capital, Tribe Capital, General Atlantic",9630000000.0
UC_38,27,"DFJ Growth Fund, Coatue Management, Addition",5450000000.0
UC_40,36,"Accel India, SAIF Partners, Norwest Venture Partners",3571000000.0
UC_41,15,"MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital",2475000000.0
UC_42,20,"Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers",333500000.0
UC_43,70,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers",691120000.0
UC_44,33,"Y Combinator, Sequoia Capital, Coatue Management",1326000000.0
UC_45,19,"DJF, Salesforce Ventures, Storm Ventures",504770000.0
UC_46,17,"Index Ventures, Draft Ventures, Felicis Ventures",3420000000.0
UC_47,22,"Upper90, RiverPark Ventures, Advent International",3396000000.0
UC_48,22,"Ribbit Capital, capitalG, Softbank Group",3396000000.0
UC_49,13,"KKR, ES Ventures, North Bridge Growth Equity",572010000.0
UC_50,16,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures",1099000000.0
UC_51,13,"Sequoia Capital China, Tencent Investment, BA Capital",579230000.0
UC_52,21,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures",1722000000.0
UC_53,15,"Summit Partners, Accel, Astral Capital",678500000.0
UC_54,54,"Vattenfall, Volkswagen Group, Goldman Sachs",6162000000.0
UC_55,15,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth",1170000000.0
UC_56,35,"Sequoia Capital China, GX Capital",4304000000.0
UC_57,22,"Nintendo, Google, Pokemon Company International, Spark Capital",7700000000.0
UC_58,20,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners",3114000000.0
UC_59,21,"Target Global, General Catalyst, Durable Capital Partners",7750000000.0
UC_60,16,"DST Global, SoftBank Group, Mountain Nazca",1188000000.0
UC_61,26,"BOLDstart Ventures, Google Ventures, Accel",1026000000.0
UC_62,11,"SoftBank Group, Greylock Partners, Gaorong Capital",2132000000.0
UC_63,28,"Didi Chuxing, Diamler, TMT Investments",1971000000.0
UC_64,19,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management",1907000000.0
UC_65,10,"01 Advisors, Zeev Ventures, Group 11",5560000000.0
