ID,Industry
UC_0,Artificial intelligence
UC_1,Other
UC_2,Fintech
UC_3,Fintech
UC_4,Other
UC_5,Internet software & services
UC_6,Fintech
UC_7,"Supply chain, logistics, & delivery"
UC_8,Data management & analytics
UC_9,Fintech
UC_10,"Sequoia Capital, Thoma Bravo, Softbank"
UC_11,E-commerce & direct-to-consumer
UC_12,Fintech
UC_13,Edtech
UC_14,E-commerce & direct-to-consumer
UC_15,"Supply chain, logistics, & delivery"
UC_16,Internet software & services
UC_17,Edtech
UC_18,Hardware
UC_19,E-commerce & direct-to-consumer
UC_20,E-commerce & direct-to-consumer
UC_21,Consumer & retail
UC_22,Fintech
UC_23,Fintech
UC_24,E-commerce & direct-to-consumer
UC_25,Internet software & services
UC_26,Health
UC_27,Artificial intelligence
UC_28,Fintech
UC_29,Consumer & retail
UC_30,Hardware
UC_31,Health
UC_32,Internet software & services
UC_33,Internet software & services
UC_34,Auto & transportation
UC_35,Hardware
UC_36,Data management & analytics
UC_37,Fintech
UC_38,Fintech
UC_40,"Supply chain, logistics, & delivery"
UC_41,"Supply chain, logistics, & delivery"
UC_42,Internet software & services
UC_43,Fintech
UC_44,Internet software & services
UC_45,Internet software & services
UC_46,Internet software & services
UC_47,Other
UC_48,Finttech
UC_49,Internet software & services
UC_50,Internet software & services
UC_51,Other
UC_52,Fintech
UC_53,Internet software & services
UC_54,Other
UC_55,Cybersecurity
UC_56,E-commerce & direct-to-consumer
UC_57,Mobile & telecommunications
UC_58,Travel
UC_59,Fintech
UC_60,E-commerce & direct-to-consumer
UC_61,Cybersecurity
UC_62,Auto & transportation
UC_63,Auto & transportation
UC_64,Cybersecurity
UC_65,Fintech
UC_66,Health
UC_67,E-commerce & direct-to-consumer
UC_68,Internet software & services
UC_69,Fintech
UC_70,Fintech
UC_71,"Supply chain, logistics, & delivery"
UC_72,Health
UC_73,Fintech
UC_75,E-commerce & direct-to-consumer
UC_76,Cybersecurity
UC_77,Fintech
UC_78,Fintech
UC_79,Fintech
UC_80,Artificial intelligence
UC_82,Artificial intelligence
UC_83,Travel
UC_84,Fintech
UC_85,Health
UC_86,Internet software & services
UC_87,Health
UC_88,Artificial intelligence
UC_89,Cybersecurity
UC_90,E-commerce & direct-to-consumer
UC_91,Fintech
UC_92,Fintech
UC_93,Internet software & services
UC_95,Artificial intelligence
UC_96,Internet software & services
UC_97,Fintech
UC_98,Health
UC_99,Other
UC_100,Internet software & services
UC_101,Hardware
UC_102,Fintech
UC_103,Cybersecurity
UC_104,Fintech
UC_105,Fintech
UC_106,Artificial intelligence
UC_107,Mobile & telecommunications
UC_108,Consumer & retail
UC_109,E-commerce & direct-to-consumer
UC_110,Internet software & services
UC_111,Health
UC_112,Internet software & services
UC_113,E-commerce & direct-to-consumer
UC_114,"Supply chain, logistics, & delivery"
UC_115,Internet software & services
UC_116,Data management & analytics
UC_117,Artificial intelligence
UC_118,Fintech
UC_119,"Supply chain, logistics, & delivery"
UC_120,Data management & analytics
UC_121,Fintech
UC_122,Internet software & services
UC_123,E-commerce & direct-to-consumer
UC_125,Health
UC_126,Auto & transportation
UC_127,Fintech
UC_128,Fintech
UC_129,Fintech
UC_130,Artificial intelligence
UC_131,Auto & transportation
UC_132,Other
UC_133,Data management & analytics
UC_134,Fintech
UC_135,Fintech
UC_136,Mobile & telecommunications
UC_137,E-commerce & direct-to-consumer
UC_138,Data management & analytics
UC_139,Fintech
UC_140,Auto & transportation
UC_141,Artificial intelligence
UC_142,Travel
UC_143,Internet software & services
UC_144,Health
UC_145,Fintech
UC_147,Fintech
UC_148,Artificial intelligence
UC_149,Health
UC_150,Internet software & services
UC_151,Internet software & services
UC_152,Health
UC_153,Hardware
UC_154,E-commerce & direct-to-consumer
UC_155,Edtech
UC_156,Cybersecurity
UC_157,Fintech
UC_158,Hardware
UC_159,Internet software & services
UC_160,Auto & transportation
UC_161,Internet software & services
UC_162,Cybersecurity
UC_163,E-commerce & direct-to-consumer
UC_164,Other
UC_165,E-commerce & direct-to-consumer
UC_166,Fintech
UC_167,Internet software & services
UC_168,Internet software & services
UC_169,Data management & analytics
UC_171,Artificial intelligence
UC_172,Fintech
UC_173,"Supply chain, logistics, & delivery"
UC_174,E-commerce & direct-to-consumer
UC_176,Mobile & telecommunications
UC_177,Artificial intelligence
UC_178,Fintech
UC_179,Consumer & retail
UC_180,Health
UC_181,Fintech
UC_182,Internet software & services
UC_183,Internet software & services
UC_186,Internet software & services
UC_187,Internet software & services
UC_188,Data management & analytics
UC_189,Fintech
UC_190,E-commerce & direct-to-consumer
UC_191,Internet software & services
UC_192,Hardware
UC_193,Other
UC_194,Mobile & telecommunications
UC_195,Internet software & services
UC_196,Health
UC_197,Health
UC_198,E-commerce & direct-to-consumer
UC_199,Mobile & telecommunications
UC_200,Internet software & services
UC_201,Edtech
UC_202,Fintech
UC_203,E-commerce & direct-to-consumer
UC_204,Data management & analytics
UC_205,Data management & analytics
UC_206,E-commerce & direct-to-consumer
UC_207,Health
UC_208,Other
UC_209,Internet software & services
UC_210,Internet software & services
UC_211,Internet software & services
UC_212,E-commerce & direct-to-consumer
UC_213,Data management & analytics
UC_214,Edtech
UC_215,Health
UC_216,Artificial intelligence
UC_217,Kuang-Chi
UC_218,Internet software & services
UC_219,Fintech
UC_220,Internet software & services
UC_221,E-commerce & direct-to-consumer
UC_222,Cybersecurity
UC_223,Internet software & services
UC_224,Fintech
UC_225,Edtech
UC_226,Internet software & services
UC_227,Internet software & services
UC_228,Fintech
UC_229,Hardware
UC_230,Edtech
UC_231,Fintech
UC_232,Fintech
UC_233,Auto & transportation
UC_234,Data management & analytics
UC_235,Data management & analytics
UC_236,Artificial intelligence
UC_237,Auto & transportation
UC_238,Other
UC_239,Mobile & telecommunications
UC_240,Health
UC_241,"Supply chain, logistics, & delivery"
UC_242,E-commerce & direct-to-consumer
UC_243,Fintech
UC_244,Other
UC_245,E-commerce & direct-to-consumer
UC_246,Fintech
UC_247,Edtech
UC_248,Fintech
UC_249,Fintech
UC_250,Health
UC_251,Internet software & services
UC_252,E-commerce & direct-to-consumer
UC_253,Hardware
UC_254,Fintech
UC_255,"Supply chain, logistics, & delivery"
