ID,Financial Stage,Founded Year,Year Joined
UC_0,IPO,2012,2017
UC_1,None,2002,2012
UC_2,Asset,2010,2014
UC_3,Acquired,2005,2011
UC_4,Acquired,1991,2018
UC_5,None,2012,2018
UC_6,None,2012,2019
UC_7,None,2012,2014
UC_8,None,2013,2019
UC_9,None,2015,2018
UC_10,Acq,2018,2021
UC_11,None,1995,2012
UC_12,Divestiture,2013,2019
UC_13,None,2008,2017
UC_14,None,2013,2016
UC_15,None,2015,2021
UC_16,None,2011,2022
UC_17,Acquired,2012,2017
UC_18,None,2006,2015
UC_19,None,2008,2018
UC_20,None,2013,2020
UC_21,None,2016,2020
UC_22,Acq,2012,2019
UC_23,None,2012,2018
UC_24,None,2017,2021
UC_25,None,2009,2019
UC_26,None,2017,2018
UC_27,None,2017,2019
UC_28,None,2017,2018
UC_29,None,2015,2017
UC_30,None,2015,2018
UC_31,None,2008,2018
UC_32,None,2003,2021
UC_33,None,2013,2018
UC_34,None,2013,2021
UC_35,None,1998,2016
UC_36,None,2011,2018
UC_37,None,2014,2021
UC_38,None,2017,2021
UC_40,Acquired,2014,2018
UC_41,None,2013,2019
UC_42,None,2012,2020
UC_43,None,2011,2015
UC_44,Acquired,2005,2017
UC_45,None,2011,2018
UC_46,None,2016,2020
UC_47,Acquired,2018,2020
UC_48,Acquired,2018,2021
UC_49,None,2001,2018
UC_50,None,2012,2018
UC_51,None,2012,2019
UC_52,None,2013,2019
UC_53,None,2012,2020
UC_54,None,2016,2019
UC_55,None,2007,2015
UC_56,None,2015,2016
UC_57,None,2015,2017
UC_58,None,2012,2018
UC_59,None,2016,2019
UC_60,None,2016,2020
UC_61,None,2015,2020
UC_62,None,2016,2019
UC_63,None,2013,2018
UC_64,None,2015,2021
UC_65,None,2010,2020
UC_66,None,2015,2018
UC_67,None,2009,2020
UC_68,None,2007,2019
UC_69,None,2018,2021
UC_70,None,2019,2021
UC_71,None,2013,2018
UC_72,None,1996,2021
UC_73,None,2018,2021
UC_75,None,2015,2021
UC_76,None,2012,2018
UC_77,None,2013,2020
UC_78,None,2013,2018
UC_79,Acquired,2012,2019
UC_80,None,2018,2019
UC_82,None,2015,2020
UC_83,None,2015,2018
UC_84,None,2015,2021
UC_85,None,2010,2015
UC_86,None,2012,2018
UC_87,None,2017,2020
UC_88,None,2003,2018
UC_89,None,2005,2021
UC_90,None,2011,2018
UC_91,IPO,1992,2020
UC_92,None,2004,2020
UC_93,None,2017,2020
UC_95,None,2012,2019
UC_96,None,2015,2021
UC_97,None,2016,2018
UC_98,None,2015,2021
UC_99,None,2020,2021
UC_100,None,2012,2021
UC_101,None,2012,2015
UC_102,None,2018,2020
UC_103,None,2020,2021
UC_104,None,2013,2021
UC_105,None,1998,2020
UC_106,None,2013,2021
UC_107,None,2016,2020
UC_108,IPO,1999,2018
UC_109,IPO,2001,2016
UC_110,Acquired,1994,2011
UC_111,None,2017,2020
UC_112,None,2013,2021
UC_113,None,2014,2021
UC_114,None,2005,2022
UC_115,None,2014,2020
UC_116,None,2012,2020
UC_117,None,2016,2018
UC_118,None,2015,2021
UC_119,None,2015,2018
UC_120,None,2008,2019
UC_121,Acq,2011,2021
UC_122,None,2016,2019
UC_123,None,2012,2019
UC_125,None,2011,2017
UC_126,None,2016,2018
UC_127,None,2018,2021
UC_128,None,2015,2019
UC_129,None,2011,2021
UC_130,None,2015,2019
UC_131,None,2015,2019
UC_132,Take,1994,2020
UC_133,None,2017,2021
UC_134,None,2010,2021
UC_135,Acq,2015,2017
UC_136,Acq,2015,2020
UC_137,None,2015,2021
UC_138,None,2015,2021
UC_139,None,2016,2022
UC_140,None,2019,2019
UC_141,None,2009,2019
UC_142,None,2007,2021
UC_143,None,2015,2021
UC_144,None,2020,2021
UC_145,Acquired,2012,2020
UC_147,None,2015,2021
UC_148,None,2017,2019
UC_149,None,2015,2020
UC_150,None,2013,2019
UC_151,None,2014,2019
UC_152,None,2013,2021
UC_153,IPO,2003,2014
UC_154,None,2008,2019
UC_155,None,2013,2016
UC_156,None,2012,2021
UC_157,None,2000,2018
UC_158,IPO,2012,2016
UC_159,None,2011,2019
UC_160,None,2017,2020
UC_161,None,2013,2021
UC_162,None,2012,2020
UC_163,None,2019,2021
UC_164,None,2016,2020
UC_165,None,2015,2019
UC_166,None,2014,2020
UC_167,None,2012,2018
UC_168,None,2012,2022
UC_169,None,2016,2021
UC_171,None,2009,2018
UC_172,None,2014,2021
UC_173,None,2015,2021
UC_174,None,2008,2014
UC_176,Divestiture,2012,2014
UC_177,None,2011,2017
UC_178,Management,2011,2018
UC_179,None,2011,2019
UC_180,None,2012,2019
UC_181,None,2016,2019
UC_182,Acquired,2013,2020
