Cluster,Valuation ($B)
3,140.0
3,100.3
2,95.0
2,45.6
2,42.0
1,40.0
1,40.0
2,39.0
2,38.0
1,33.0
1,32.0
2,27.0
2,25.0
3,21.0
1,20.0
2,20.0
2,17.5
2,15.5
1,15.0
1,15.0
2,15.0
1,15.0
1,15.0
1,13.4
1,13.3
2,13.0
2,12.6
1,12.4
1,12.3
1,12.0
1,12.0
1,12.0
1,12.0
1,11.7
1,11.4
3,11.1
1,11.0
3,11.0
3,10.2
2,10.7
2,10.0
1,10.0
1,10.0
1,10.0
1,10.0
2,10.0
2,10.0
2,10.0
1,9.5
1,9.5
1,9.28
1,9.23
1,9.2
3,9.08
1,9.0
2,9.0
3,9.0
2,9.6
3,8.75
1,8.7
1,8.6
2,8.6
2,8.4
2,8.3
3,8.3
1,8.1
3,8.0
1,8.0
1,8.0
3,8.0
2,8.0
1,7.83
1,7.6
1,7.5
1,7.5
1,7.5
1,7.4
1,7.4
1,7.3
3,7.25
1,7.25
2,7.1
1,7.0
1,7.0
1,7.0
3,6.8
1,6.8
2,6.6
1,6.5
1,6.5
1,6.5
1,6.3
1,6.3
1,6.28
1,6.2
3,6.1
2,6.1
1,6.0
1,6.0
3,6.0
1,6.0
1,6.0
2,5.2
1,5.99
2,5.78
1,5.77
1,5.7
1,5.7
2,5.7
1,5.7
1,5.7
2,5.6
1,5.6
1,5.3
1,5.3
2,5.25
1,5.25
1,5.2
1,5.1
1,5.1
3,5.0
2,5.0
1,5.5
3,5.5
1,5.5
2,5.0
3,5.0
1,5.0
1,5.0
3,5.0
1,5.0
1,5.0
1,5.0
1,5.0
1,5.0
1,5.0
1,5.0
1,5.0
1,4.9
1,4.8
1,4.8
1,4.7
1,4.6
1,5.85
1,4.6
3,4.6
1,4.6
1,4.58
1,4.53
1,4.5
1,4.5
1,4.5
1,4.58
1,4.4
3,4.4
1,4.7
1,4.3
1,4.3
1,4.2
1,4.25
1,4.2
1,4.2
1,4.2
1,4.2
1,4.1
1,4.11
1,4.1
1,4.0
1,4.0
1,4.0
1,4.0
2,4.0
1,4.0
3,4.0
1,4.0
1,4.0
2,4.0
1,4.0
3,4.0
3,4.0
3,4.0
3,4.0
3,4.0
1,4.0
3,4.0
1,4.0
1,3.92
1,3.8
3,3.8
1,3.8
1,3.75
1,3.75
2,3.75
3,3.75
3,3.7
2,3.7
1,3.7
1,3.7
3,3.7
2,3.7
1,3.7
1,3.6
1,3.6
2,3.6
1,3.6
1,3.52
1,3.5
1,3.5
1,3.5
1,3.5
1,3.5
3,3.5
3,3.5
2,3.5
1,3.5
1,3.5
1,3.5
1,3.5
1,3.5
