Company,Cluster,Valuation ($B),Year Joined,Country,City,Industry,Select Inverstors,Founded Year,Investors Count,Total Raised($),Transition Time(Years),xcoord,ycoord
Bytedance,3,140.0,2017,China,Beijing,Artificial intelligence,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group",2012,28,7440000000.0,5,35.000074,104.999927
SpaceX,3,100.3,2012,United States,Hawthorne,Other,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",2002,29,6874000000.0,10,39.7837304,-100.445882
BYJU's,3,21.0,2017,India,Bengaluru,Edtech,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India",2008,45,5183000000.0,9,22.3511148,78.6677428
Global Switch,3,11.1,2016,United Kingdom,London,Hardware,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group",1998,6,6255000000.0,18,54.7023545,-3.2765753
Bolt,3,11.0,2021,United States,San Francisco,Fintech,"Activant Capital, Tribe Capital, General Atlantic",2014,37,9630000000.0,7,39.7837304,-100.445882
Alchemy,3,10.2,2021,United States,San Francisco,Fintech,"DFJ Growth Fund, Coatue Management, Addition",2017,27,5450000000.0,4,39.7837304,-100.445882
Northvolt,3,9.08,2019,Sweden,Stockholm,Other,"Vattenfall, Volkswagen Group, Goldman Sachs",2016,54,6162000000.0,3,59.6749712,14.5208584
Niantic,3,9.0,2017,United States,San Francisco,Mobile & telecommunications,"Nintendo, Google, Pokemon Company International, Spark Capital",2015,22,7700000000.0,2,39.7837304,-100.445882
Rapyd,3,8.75,2019,United Kingdom,London,Fintech,"Target Global, General Catalyst, Durable Capital Partners",2016,21,7750000000.0,3,54.7023545,-3.2765753
Tipalti,3,8.3,2020,United States,San Mateo,Fintech,"01 Advisors, Zeev Ventures, Group 11",2010,10,5560000000.0,10,39.7837304,-100.445882
Xingsheng Selected,3,8.0,2020,China,Changsha,E-commerce & direct-to-consumer,"KKR, Tencent Holdings, Sequoia Capital China",2009,14,5040000000.0,11,35.000074,104.999927
Ramp,3,8.0,2021,United States,New York,Fintech,"D1 Capital Partners, Stripe, Coatue Management",2019,18,8270000000.0,2,39.7837304,-100.445882
Gong,3,7.25,2020,United States,Palo Alto,Artificial intelligence,"Norwest Venture Partners, Next World Capital, Wing Venture Capital",2015,13,5830000000.0,5,39.7837304,-100.445882
Automation Anywhere,3,6.8,2018,United States,San Jose,Artificial intelligence,"General Atlantic, Goldman Sachs, New Enterprise Associates",2003,8,8400000000.0,15,39.7837304,-100.445882
Black Unicorn Factory,3,6.1,2021,United States,Los Angeles,Other,Barter Ventures,2020,1,6450000000.0,1,39.7837304,-100.445882
Wiz,3,6.0,2021,Israel,Tel Aviv,Cybersecurity,"Insight Partners, Sequoia Capital, Index Ventures",2020,10,6000000000.0,1,31.5313113,34.8667654
United Imaging Healthcare,3,5.0,2017,China,Shanghai,Health,"China Life Insurance, China Development Bank Capital, CITIC Securities International",2011,6,5000000000.0,6,35.000074,104.999927
Airwallex,3,5.5,2019,Australia,Melbourne,Fintech,"DST Global, Sequoia Capital China, Tencent Holdings",2015,23,8020000000.0,4,-24.7761086,134.755
WM Motor,3,5.0,2019,China,Shanghai,Auto & transportation,"Baidu Capital, Linear Venture, Tencent",2015,35,5987000000.0,4,35.000074,104.999927
ZEPZ,3,5.0,2021,United Kingdom,London,Fintech,"Accel, Technology Crossover Ventures, LeapFrog Investments",2010,9,6920000000.0,11,54.7023545,-3.2765753
Checkr,3,4.6,2019,United States,San Francisco,Internet software & services,"Y Combinator, Accel, T. Rowe Price",2014,24,5590000000.0,5,39.7837304,-100.445882
WeRide,3,4.4,2020,China,Guangzhou,Auto & transportation,"Atop Capital, IDInvest Partners, Qiming Venture Partners",2017,30,7890000000.0,3,35.000074,104.999927
Next Insurance,3,4.0,2019,United States,Palo Alto,Fintech,"Zeev Ventures, Ribbit Capital, TLV Partners",2016,17,8810000000.0,3,39.7837304,-100.445882
Rubrik,3,4.0,2017,United States,Palo Alto,Data management & analytics,"Greylock Partners, Lightspeed Venture Partners, Khosla Ventures",2014,10,5530000000.0,3,39.7837304,-100.445882
Melio,3,4.0,2021,United States,New York,Fintech,"Accel, Aleph, American Express Ventures",2018,13,5040000000.0,3,39.7837304,-100.445882
