Company,Cluster,Valuation ($B),Year Joined,Country,City,Industry,Select Inverstors,Founded Year,Investors Count,Total Raised($),Transition Time(Years),xcoord,ycoord
Stripe,2,95.0,2014,United States,San Francisco,Fintech,"Khosla Ventures, LowercaseCapital, capitalG",2010,39,2901000000.0,4,39.7837304,-100.445882
Klarna,2,45.6,2011,Sweden,Stockholm,Fintech,"Institutional Venture Partners, Sequoia Capital, General Atlantic",2005,56,3472000000.0,6,59.6749712,14.5208584
Epic Games,2,42.0,2018,United States,Cary,Other,"Tencent Holdings, KKR, Smash Ventures",1991,25,4377000000.0,27,39.7837304,-100.445882
Instacart,2,39.0,2014,United States,San Francisco,"Supply chain, logistics, & delivery","Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund",2012,29,2686000000.0,2,39.7837304,-100.445882
Databricks,2,38.0,2019,United States,San Francisco,Data management & analytics,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",2013,29,3497000000.0,6,39.7837304,-100.445882
Fanatics,2,27.0,2012,United States,Jacksonville,E-commerce & direct-to-consumer,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",1995,21,4190000000.000001,17,39.7837304,-100.445882
Chime,2,25.0,2019,United States,San Francisco,Fintech,"Forerunner Ventures, Crosslink Capital, Homebrew",2013,24,2599000000.0,6,39.7837304,-100.445882
J&T Express,2,20.0,2021,Indonesia,Jakarta,"Supply chain, logistics, & delivery","Hillhouse Capital Management, Boyu Capital, Sequoia Capital China",2015,9,4653000000.0,6,-2.4833826,117.8902853
Miro,2,17.5,2022,United States,San Francisco,Internet software & services,"Accel, AltaIR Capital, Technology Crossover Ventures",2011,18,4750000000.0,11,39.7837304,-100.445882
Yuanfudao,2,15.5,2017,China,Beijing,Edtech,"Tencent Holdings, Warbug Pincus, IDG Capital",2012,18,4044000000.0,5,35.000074,104.999927
goPuff,2,15.0,2020,United States,Philadelphia,E-commerce & direct-to-consumer,"Accel, Softbank Group, Anthos Capital",2013,16,3397000000.0,7,39.7837304,-100.445882
Grammarly,2,13.0,2019,United States,San Francisco,Internet software & services,"General Catalyst, Institutional Venture Partners, Breyer Capital",2009,8,4000000000.0,10,39.7837304,-100.445882
Devoted Health,2,12.6,2018,United States,Waltham,Health,"Andreessen Horowitz, F-Prime Capital, Venrock",2017,16,1969000000.0,1,39.7837304,-100.445882
Swiggy,2,10.7,2018,India,Bengaluru,"Supply chain, logistics, & delivery","Accel India, SAIF Partners, Norwest Venture Partners",2014,36,3571000000.0,4,22.3511148,78.6677428
Lalamove,2,10.0,2019,Hong Kong,Cheung Sha Wan,"Supply chain, logistics, & delivery","MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital",2013,15,2475000000.0,6,22.2793278,114.1628131
Notion Labs,2,10.0,2020,United States,San Francisco,Internet software & services,"Index Ventures, Draft Ventures, Felicis Ventures",2016,17,3420000000.0,4,39.7837304,-100.445882
Thrasio,2,10.0,2020,United States,Walpole,Other,"Upper90, RiverPark Ventures, Advent International",2018,22,3396000000.0,2,39.7837304,-100.445882
Digital Currency Group,2,10.0,2021,United States,New York,Finttech,"Ribbit Capital, capitalG, Softbank Group",2018,22,3396000000.0,3,39.7837304,-100.445882
Chehaoduo,2,9.0,2016,China,Beijing,E-commerce & direct-to-consumer,"Sequoia Capital China, GX Capital",2015,35,4304000000.0,1,35.000074,104.999927
OYO Rooms,2,9.6,2018,India,Gurugram,Travel,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners",2012,20,3114000000.0,6,22.3511148,78.6677428
Nuro,2,8.6,2019,United States,Mountain View,Auto & transportation,"SoftBank Group, Greylock Partners, Gaorong Capital",2016,11,2132000000.0,3,39.7837304,-100.445882
Bolt,2,8.4,2018,Estonia,Tallinn,Auto & transportation,"Didi Chuxing, Diamler, TMT Investments",2013,28,1971000000.0,5,58.7523778,25.3319078
Lacework,2,8.3,2021,United States,San Jose,Cybersecurity,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management",2015,19,1907000000.0,6,39.7837304,-100.445882
Flexport,2,8.0,2018,United States,San Francisco,"Supply chain, logistics, & delivery","Bloomberg Beta, Founders Fund, First Round Capital",2013,28,2237000000.0,5,39.7837304,-100.445882
Gemini,2,7.1,2021,United States,New York,Fintech,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund",2015,15,4000000000.0,6,39.7837304,-100.445882
Ziroom,2,6.6,2018,China,Beijing,E-commerce & direct-to-consumer,"Sequoia Capital China, Warburg Pincus, General Catalyst",2011,12,2121000000.0,7,35.000074,104.999927
Benchling,2,6.1,2021,United States,San Francisco,Internet software & services,"Thrive Capital, Benchmark, MenloVentures",2012,29,4120000000.0,9,39.7837304,-100.445882
6Sense,2,5.2,2021,United States,San Francisco,Artificial intelligence,"Venrock, Battery Ventures, Insight Partners",2013,19,4240000000.0,8,39.7837304,-100.445882
Easyhome,2,5.78,2018,China,Beijing,Consumer & retail,"Alibaba Group, Boyu Capital, Borui Capital",1999,12,2085000000.0,19,35.000074,104.999927
Workato,2,5.7,2021,United States,Mountain View,Internet software & services,"Battery Ventures, Storm Ventures, Redpoint Ventures",2013,11,4150000000.0,8,39.7837304,-100.445882
Postman,2,5.6,2020,United States,San Francisco,Internet software & services,"Nexus Venture Partners, CRV, Insight Partners",2014,8,4330000000.0,6,39.7837304,-100.445882
Rappi,2,5.25,2018,Colombia,Bogota,"Supply chain, logistics, & delivery","DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures",2015,35,2248000000.0,3,4.099917,-72.9088133
Hello TransTech,2,5.0,2018,China,Shanghai,Auto & transportation,"Ant Financial Services Group, GGV Capital",2016,13,2701000000.0,2,35.000074,104.999927
Horizon Robotics,2,5.0,2019,China,Beijing,Artificial intelligence,"Hillhouse Capital Management, Linear Venture, Morningside Venture Capital",2015,56,2200000000.0,4,35.000074,104.999927
Impossible Foods,2,4.0,2019,United States,Redwood City,Consumer & retail,"Khosla Ventures, Horizons Ventures, Temasek Holdings",2011,38,2006000000.0,8,39.7837304,-100.445882
BrowserStack,2,4.0,2021,Ireland,Dublin,Internet software & services,"Accel, Insight Partners, Bond Capital",2011,3,2500000000.0,10,52.865196,-7.9794599
FalconX,2,3.75,2021,United States,San Mateo,Fintech,"Tiger Global Management, American Express Ventures, B Capital Group",2018,15,2770000000.0,3,39.7837304,-100.445882
VAST Data,2,3.7,2020,United States,New York,Data management & analytics,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital",2016,11,2630000000.0,4,39.7837304,-100.445882
Papaya Global,2,3.7,2021,United States,New York,Internet software & services,"Bessemer Venture Partners, Insight Partners, New Era Ventures",2016,16,4380000000.0,5,39.7837304,-100.445882
Applied Intuition,2,3.6,2020,United States,Sunnyvale,Data management & analytics,"Andreessen Horowitz, Lux Capital, General Catalyst",2017,21,3400000000.0,3,39.7837304,-100.445882
Tekion,2,3.5,2020,United States,San Ramon,Internet software & services,"Airbus Ventures, Index Ventures, Advent International",2016,14,4000000000.0,4,39.7837304,-100.445882
Komodo Health,2,3.3,2020,United States,San Francisco,Health,"Andreessen Horowitz, IA Ventures, Felicis Ventures",2014,10,3150000000.0,6,39.7837304,-100.445882
Blockstream,2,3.2,2021,Canada,Vancouver,Fintech,"AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital",2014,23,3110000000.0,7,61.0666922,-107.991707
Skims,2,3.2,2021,United States,Los Angeles,E-commerce & direct-to-consumer,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures",2019,5,3940000000.0,2,39.7837304,-100.445882
HighRadius,2,3.1,2020,United States,Houston,Fintech,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital",2006,11,4750000000.0,14,39.7837304,-100.445882
Zuoyebang,2,3.0,2018,China,Beijing,Edtech,"Sequoia Capital China, Xiang He Capital, GGV Capital",2014,17,3435000000.0,4,35.000074,104.999927
