Cluster,Valuation ($B)
2,140.0
2,100.3
1,95.0
1,45.6
1,42.0
0,40.0
0,40.0
1,39.0
1,38.0
0,33.0
0,32.0
1,27.0
1,25.0
2,21.0
0,20.0
1,20.0
1,17.5
1,15.5
0,15.0
0,15.0
1,15.0
0,15.0
0,15.0
0,13.4
0,13.3
1,13.0
1,12.6
0,12.4
0,12.3
0,12.0
0,12.0
0,12.0
0,12.0
0,11.7
0,11.4
2,11.1
0,11.0
2,11.0
2,10.2
1,10.7
1,10.0
0,10.0
0,10.0
0,10.0
0,10.0
1,10.0
1,10.0
1,10.0
0,9.5
0,9.5
0,9.28
0,9.23
0,9.2
2,9.08
0,9.0
1,9.0
2,9.0
1,9.6
2,8.75
0,8.7
0,8.6
1,8.6
1,8.4
1,8.3
2,8.3
0,8.1
2,8.0
0,8.0
0,8.0
2,8.0
1,8.0
0,7.83
0,7.6
0,7.5
0,7.5
0,7.5
0,7.4
0,7.4
0,7.3
2,7.25
0,7.25
1,7.1
0,7.0
0,7.0
0,7.0
2,6.8
0,6.8
1,6.6
0,6.5
0,6.5
0,6.5
0,6.3
0,6.3
0,6.28
0,6.2
2,6.1
1,6.1
0,6.0
0,6.0
2,6.0
0,6.0
0,6.0
1,5.2
0,5.99
1,5.78
0,5.77
0,5.7
0,5.7
1,5.7
0,5.7
0,5.7
1,5.6
0,5.6
0,5.3
0,5.3
1,5.25
0,5.25
0,5.2
0,5.1
0,5.1
2,5.0
1,5.0
0,5.5
2,5.5
0,5.5
1,5.0
2,5.0
0,5.0
0,5.0
2,5.0
0,5.0
0,5.0
0,5.0
0,5.0
0,5.0
0,5.0
0,5.0
0,5.0
0,4.9
0,4.8
0,4.8
0,4.7
0,4.6
0,5.85
0,4.6
2,4.6
0,4.6
0,4.58
0,4.53
0,4.5
0,4.5
0,4.5
0,4.58
0,4.4
2,4.4
0,4.7
0,4.3
0,4.3
0,4.2
0,4.25
0,4.2
0,4.2
0,4.2
0,4.2
0,4.1
0,4.11
0,4.1
0,4.0
0,4.0
0,4.0
0,4.0
1,4.0
0,4.0
2,4.0
0,4.0
0,4.0
1,4.0
0,4.0
2,4.0
2,4.0
2,4.0
2,4.0
2,4.0
0,4.0
2,4.0
0,4.0
0,3.92
0,3.8
2,3.8
0,3.8
0,3.75
0,3.75
1,3.75
2,3.75
2,3.7
1,3.7
0,3.7
0,3.7
2,3.7
1,3.7
0,3.7
0,3.6
0,3.6
1,3.6
0,3.6
0,3.52
0,3.5
0,3.5
0,3.5
0,3.5
0,3.5
2,3.5
2,3.5
1,3.5
0,3.5
0,3.5
0,3.5
0,3.5
0,3.5
0,3.5
0,3.44
2,3.4
0,3.4
0,3.35
0,3.35
0,3.35
0,3.32
0,3.31
0,3.3
0,3.3
1,3.3
0,3.3
0,3.3
0,3.25
0,3.24
0,3.2
0,3.2
0,3.2
1,3.2
0,3.2
0,3.2
0,3.2
1,3.2
0,3.15
2,3.15
0,3.1
1,3.1
0,3.1
0,3.1
2,3.0
0,3.0
0,3.0
2,3.0
0,3.0
1,3.0
0,3.0
0,3.0
0,3.0
0,3.0
2,3.0
0,3.0
0,3.0
1,3.0
0,3.0
0,3.0
0,3.0
0,3.0
1,3.0
0,3.0
0,3.0
0,3.0
0,3.1
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.3
1,3.0
0,3.0
0,3.0
0,3.0
1,3.0
0,2.92
0,2.92
0,2.9
0,2.9
2,2.9
0,2.85
0,2.85
0,2.85
0,2.8
2,2.8
0,2.8
2,2.77
0,2.75
0,2.75
0,2.75
0,2.75
2,2.74
1,3.95
0,2.7
0,2.7
1,2.7
0,2.6
1,2.62
0,2.6
0,2.6
0,2.6
0,2.0
0,2.62
0,2.5
0,2.5
0,2.5
0,2.5
0,2.5
0,2.5
0,2.5
2,2.5
0,2.5
1,2.5
0,2.5
0,2.5
0,2.5
1,2.5
2,2.45
0,2.45
0,2.44
0,2.41
0,2.41
2,2.4
0,2.4
1,2.4
1,2.4
0,2.4
0,2.4
0,2.62
0,2.35
0,2.35
0,2.34
0,2.32
0,2.31
1,2.3
0,2.3
1,2.3
0,2.3
0,2.3
1,2.3
0,2.27
0,2.26
0,2.25
0,2.25
1,2.25
0,2.2
0,2.2
0,2.2
0,2.2
0,2.2
0,2.2
0,2.2
2,2.2
1,2.2
0,2.19
1,2.19
0,2.18
0,2.17
0,2.17
0,2.15
1,2.15
2,2.1
1,2.1
0,2.1
0,2.1
0,2.1
1,2.1
0,2.1
0,2.1
0,2.1
1,2.0
0,2.0
0,2.0
0,2.0
1,2.0
0,2.0
0,2.0
0,2.0
2,2.0
0,2.0
0,2.0
1,2.0
1,2.0
1,2.0
0,2.0
0,2.0
1,2.0
0,2.0
0,2.0
0,2.0
0,2.0
0,2.0
0,2.0
1,1.05
0,2.0
0,2.0
0,2.0
2,2.0
0,2.7
0,2.1
0,2.0
1,2.0
0,2.0
1,2.0
0,2.0
0,2.0
0,2.0
0,2.0
0,2.0
0,2.0
0,2.0
2,2.0
2,2.0
1,2.0
0,2.0
0,2.0
0,2.0
0,2.0
2,2.0
0,2.0
1,2.0
0,2.0
0,2.0
1,2.0
1,2.0
0,2.0
0,2.0
2,2.0
0,2.0
0,2.0
0,2.0
1,2.0
0,2.0
1,2.0
1,2.0
0,2.0
1,1.95
0,1.95
0,1.95
0,1.9
0,1.9
0,1.9
1,1.9
0,1.85
0,1.85
0,1.85
0,1.8
0,1.8
1,1.8
0,1.8
1,1.8
0,1.8
0,1.78
0,1.75
0,1.75
2,1.8
0,1.73
0,1.7
0,1.7
0,1.7
0,1.7
0,1.7
0,1.7
0,1.7
0,1.7
0,1.7
0,1.7
0,1.7
0,1.7
0,1.7
0,1.68
0,1.65
1,1.65
1,1.63
0,1.62
1,1.62
0,1.7
0,1.65
1,1.6
0,1.6
0,1.6
0,1.6
2,2.6
0,1.6
0,1.6
0,1.6
0,1.6
0,1.5
0,1.6
0,1.6
0,1.6
0,1.6
0,1.6
0,1.6
0,1.6
2,1.59
0,1.55
0,1.55
0,1.55
0,1.53
0,1.52
1,1.5
0,1.5
2,1.5
0,1.5
0,1.5
2,1.5
0,1.5
0,1.5
0,1.5
2,1.5
0,1.5
0,1.5
1,1.5
0,1.5
1,1.5
0,2.0
0,1.5
0,1.5
0,1.5
0,1.5
0,1.5
0,1.5
0,1.5
0,1.5
0,1.5
0,1.5
0,1.5
0,1.5
0,1.5
0,1.5
0,1.5
0,1.5
0,1.5
1,1.5
0,1.5
1,1.5
0,1.5
0,1.5
0,1.5
0,1.5
0,1.5
1,1.5
0,1.5
0,1.5
0,1.5
0,1.5
0,1.5
0,1.5
0,1.5
0,1.5
0,1.49
1,1.48
0,1.45
0,1.45
0,1.45
1,1.45
1,1.45
0,1.45
1,1.45
0,1.44
0,1.43
0,1.42
0,1.4
0,1.4
0,1.4
0,1.4
0,1.4
1,1.4
1,1.4
1,1.4
0,1.4
0,1.4
0,1.4
0,1.4
0,1.4
0,1.4
0,1.4
1,1.4
0,1.4
0,1.4
0,1.4
0,1.4
0,1.4
0,1.4
0,1.4
0,1.4
0,1.4
0,1.4
0,1.4
1,1.4
0,1.38
0,1.35
0,1.35
0,1.35
1,1.35
0,1.35
0,1.35
0,1.34
0,1.33
0,1.33
0,1.32
0,1.32
0,1.32
0,1.32
0,1.32
0,1.31
0,1.31
0,1.3
0,1.3
0,1.3
0,1.3
0,1.3
1,1.3
0,1.3
0,1.3
1,1.3
0,1.3
1,1.3
0,1.3
0,1.3
0,1.3
1,1.3
0,1.3
0,1.3
0,1.3
0,1.29
0,1.28
1,1.28
0,1.28
0,1.25
2,1.25
0,1.25
0,1.25
1,1.25
1,1.25
0,1.25
0,1.25
1,1.25
0,1.25
0,1.24
0,1.24
2,1.23
0,1.23
0,1.22
0,1.22
0,1.22
2,1.2
0,1.2
0,1.2
0,1.2
0,1.2
0,1.2
1,1.2
1,1.2
0,1.2
0,1.2
0,1.3
0,1.2
0,1.2
1,1.2
1,1.2
0,1.2
1,1.2
1,1.2
1,1.2
0,1.2
0,1.2
0,1.2
0,1.2
0,1.2
0,1.2
0,1.2
0,1.2
0,1.2
0,1.2
0,1.2
0,1.4
1,1.2
1,1.2
0,1.2
0,1.2
0,1.2
0,1.2
0,1.2
1,1.2
0,1.15
0,1.19
0,1.19
0,1.18
0,1.17
0,1.17
1,1.17
0,1.16
1,1.16
0,1.15
0,1.15
1,1.15
0,1.15
0,1.15
0,1.14
0,1.13
0,1.12
0,1.1
0,1.1
0,1.1
0,1.1
0,1.1
0,1.1
0,1.1
1,1.1
1,1.1
0,1.1
0,1.1
0,1.1
0,1.1
0,1.1
0,1.1
1,1.0
1,1.1
0,1.1
1,1.1
0,1.1
0,1.1
0,1.1
1,1.1
0,1.1
0,1.1
0,1.1
0,1.1
0,1.1
0,1.1
0,1.1
1,1.1
0,1.08
0,1.08
0,1.07
0,1.07
0,1.07
0,1.07
0,1.05
0,1.05
0,1.05
0,1.05
0,1.05
0,1.04
0,1.03
0,1.01
1,1.0
0,1.0
1,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
1,1.0
0,1.0
0,1.0
1,1.0
1,1.0
0,1.0
1,1.0
0,1.0
1,1.0
1,1.0
0,1.0
0,1.0
2,1.0
0,1.0
0,1.0
2,1.0
0,1.0
0,1.0
0,1.0
2,1.0
1,1.0
2,1.0
1,1.0
1,1.0
0,1.0
0,1.0
0,1.0
0,1.0
1,1.0
0,1.0
0,1.0
1,1.0
0,1.0
0,1.0
0,1.0
0,1.0
1,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
1,1.0
0,1.0
0,1.0
0,1.0
0,1.0
1,1.0
0,3.0
0,1.0
0,1.0
1,1.0
0,1.0
1,1.0
0,1.0
2,1.0
2,1.0
0,1.0
1,1.7
0,1.0
0,1.0
1,1.0
0,1.0
0,1.0
1,1.0
0,1.0
1,1.0
1,1.0
1,1.0
0,1.0
0,1.0
0,1.0
0,1.0
1,1.0
0,1.0
1,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
1,1.0
0,1.0
1,1.0
0,1.0
0,1.0
2,1.0
0,1.5
0,1.0
1,1.0
0,1.1
0,1.1
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
1,1.0
0,1.0
0,1.0
0,1.0
0,1.0
2,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.01
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
1,1.0
0,1.2
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
1,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
1,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
1,1.0
1,1.0
0,1.0
0,1.1
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
1,1.0
0,1.0
0,1.0
0,1.0
0,1.0
1,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
1,1.0
0,1.0
0,1.0
0,1.0
1,1.0
0,1.0
1,1.0
2,1.0
0,1.0
1,1.0
0,1.0
1,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
1,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
2,1.0
0,1.0
0,1.0
0,1.0
