total_raised,founded_year,year_joined
7440000000.0,2012,2017
6874000000.0,2002,2012
2901000000.0,2010,2014
3472000000.0,2005,2011
4377000000.0,1991,2018
571260000.0,2012,2018
1830000000.0,2012,2019
2686000000.0,2012,2014
3497000000.0,2013,2019
1716000000.0,2015,2018
1829000000.0,2018,2021
4190000000.000001,1995,2012
2599000000.0,2013,2019
5183000000.0,2008,2017
917500000.0,2013,2016
4653000000.0,2015,2021
4750000000.0,2011,2022
4044000000.0,2012,2017
1135000000.0,2006,2015
553360000.0,2008,2018
3397000000.0,2013,2020
721310000.0,2016,2020
293900000.0,2012,2019
734800000.0,2012,2018
425120000.0,2017,2021
4000000000.0,2009,2019
1969000000.0,2017,2018
1096000000.0,2017,2019
1490000000.0,2017,2018
1490000000.0,2015,2017
1490000000.0,2015,2018
561500000.0,2008,2018
1800000000.0,2003,2021
1353000000.0,2013,2018
210830000.0,2013,2021
6255000000.0,1998,2016
1368000000.0,2011,2018
9630000000.0,2014,2021
5450000000.0,2017,2021
3571000000.0,2014,2018
2475000000.0,2013,2019
333500000.0,2012,2020
691120000.0,2011,2015
1326000000.0,2005,2017
504770000.0,2011,2018
3420000000.0,2016,2020
3396000000.0,2018,2020
3396000000.0,2018,2021
572010000.0,2001,2018
1099000000.0,2012,2018
579230000.0,2012,2019
1722000000.0,2013,2019
678500000.0,2012,2020
6162000000.0,2016,2019
1170000000.0,2007,2015
4304000000.0,2015,2016
7700000000.0,2015,2017
3114000000.0,2012,2018
7750000000.0,2016,2019
1188000000.0,2016,2020
1026000000.0,2015,2020
2132000000.0,2016,2019
1971000000.0,2013,2018
1907000000.0,2015,2021
5560000000.0,2010,2020
1070000000.0,2015,2018
5040000000.0,2009,2020
1165000000.0,2007,2019
1039000000.0,2018,2021
8270000000.0,2019,2021
2237000000.0,2013,2018
1314000000.0,1996,2021
671900000.0,2018,2021
1172000000.0,2015,2021
1040000000.0,2012,2018
741620000.0,2013,2020
844200000.0,2013,2018
1158000000.0,2012,2019
0.0,2018,2019
5830000000.0,2015,2020
1040000000.0,2015,2018
4000000000.0,2015,2021
1786000000.0,2010,2015
979300000.0,2012,2018
1027000000.0,2017,2020
8400000000.0,2003,2018
920140000.0,2005,2021
2121000000.0,2011,2018
149500000.0,1992,2020
934320000.0,2004,2020
447120000.0,2017,2020
1089000000.0,2012,2019
524830000.00000006,2015,2021
562500000.0,2016,2018
853850000.0,2015,2021
6450000000.0,2020,2021
4120000000.0,2012,2021
1414000000.0,2012,2015
1420000.0,2018,2020
6000000000.0,2020,2021
729220000.0,2013,2021
1077000000.0,1998,2020
4240000000.0,2013,2021
864520000.0,2016,2020
2085000000.0,1999,2018
1701000000.0,2001,2016
1555000000.0,1994,2011
891300000.0,2017,2020
4150000000.0,2013,2021
1021000000.0,2014,2021
792360000.0,2005,2022
4330000000.0,2014,2020
728020000.0,2012,2020
1093000000.0,2016,2018
986880000.0,2015,2021
2248000000.0,2015,2018
595900000.0,2008,2019
490500000.0,2011,2021
937290000.0,2016,2019
755740000.0,2012,2019
5000000000.0,2011,2017
2701000000.0,2016,2018
625150000.0,2018,2021
8020000000.0,2015,2019
445510000.0,2011,2021
2200000000.0,2015,2019
5987000000.0,2015,2019
187260000.0,1994,2020
1132000000.0,2017,2021
6920000000.0,2010,2021
