investor_count,select_investors,total_raised
28,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group",7440000000.0
29,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",6874000000.0
39,"Khosla Ventures, LowercaseCapital, capitalG",2901000000.0
56,"Institutional Venture Partners, Sequoia Capital, General Atlantic",3472000000.0
25,"Tencent Holdings, KKR, Smash Ventures",4377000000.0
26,"Sequoia Capital China, Blackbird Ventures, Matrix Partners",571260000.0
15,"Tiger Global Management, Insight Partners, DST Global",1830000000.0
29,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund",2686000000.0
29,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",3497000000.0
31,"index Ventures, DST Global, Ribbit Capital",1716000000.0
40,None,1829000000.0
21,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",4190000000.000001
24,"Forerunner Ventures, Crosslink Capital, Homebrew",2599000000.0
45,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India",5183000000.0
9,"GGV Capital, ZhenFund, Tencent",917500000.0
9,"Hillhouse Capital Management, Boyu Capital, Sequoia Capital China",4653000000.0
18,"Accel, AltaIR Capital, Technology Crossover Ventures",4750000000.0
18,"Tencent Holdings, Warbug Pincus, IDG Capital",4044000000.0
7,"Accel Partners, Sequoia Capital",1135000000.0
8,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners",553360000.0
16,"Accel, Softbank Group, Anthos Capital",3397000000.0
13,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital",721310000.0
34,"IDG Capital, Venture51, Lightspeed Venture Partners",293900000.0
24,"New Enterprise Associates, Spar Capital, Index Ventures",734800000.0
26,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures",425120000.0
8,"General Catalyst, Institutional Venture Partners, Breyer Capital",4000000000.0
16,"Andreessen Horowitz, F-Prime Capital, Venrock",1969000000.0
14,"Khosla Ventures, Forerunner Ventures, Sequoia Capital",1096000000.0
28,"DST Global, Ribbit Capital, Greenoaks Capital Management",1490000000.0
28,Tiger Global Management,1490000000.0
28,"Coatue Management, Sequoia Capital China, IDG Capital",1490000000.0
10,"Vickers Venture Partners, IKEA GreenTech",561500000.0
8,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management",1800000000.0
41,"Caffeinated Capital, CRV, Founder Collective",1353000000.0
19,"LTW Capital, Legend Capital, Qualcomm Ventures",210830000.0
6,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group",6255000000.0
13,"Accel, 83North",1368000000.0
37,"Activant Capital, Tribe Capital, General Atlantic",9630000000.0
27,"DFJ Growth Fund, Coatue Management, Addition",5450000000.0
36,"Accel India, SAIF Partners, Norwest Venture Partners",3571000000.0
15,"MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital",2475000000.0
20,"Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers",333500000.0
70,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers",691120000.0
33,"Y Combinator, Sequoia Capital, Coatue Management",1326000000.0
19,"DJF, Salesforce Ventures, Storm Ventures",504770000.0
17,"Index Ventures, Draft Ventures, Felicis Ventures",3420000000.0
22,"Upper90, RiverPark Ventures, Advent International",3396000000.0
22,"Ribbit Capital, capitalG, Softbank Group",3396000000.0
13,"KKR, ES Ventures, North Bridge Growth Equity",572010000.0
16,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures",1099000000.0
13,"Sequoia Capital China, Tencent Investment, BA Capital",579230000.0
21,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures",1722000000.0
15,"Summit Partners, Accel, Astral Capital",678500000.0
54,"Vattenfall, Volkswagen Group, Goldman Sachs",6162000000.0
15,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth",1170000000.0
35,"Sequoia Capital China, GX Capital",4304000000.0
22,"Nintendo, Google, Pokemon Company International, Spark Capital",7700000000.0
20,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners",3114000000.0
21,"Target Global, General Catalyst, Durable Capital Partners",7750000000.0
16,"DST Global, SoftBank Group, Mountain Nazca",1188000000.0
26,"BOLDstart Ventures, Google Ventures, Accel",1026000000.0
11,"SoftBank Group, Greylock Partners, Gaorong Capital",2132000000.0
28,"Didi Chuxing, Diamler, TMT Investments",1971000000.0
19,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management",1907000000.0
10,"01 Advisors, Zeev Ventures, Group 11",5560000000.0
10,"New Enterprise Associates, T. Rowe Associates, Lightbank",1070000000.0
14,"KKR, Tencent Holdings, Sequoia Capital China",5040000000.0
15,"Kaalari Capital, Tencent Holdings, Steadview Capital",1165000000.0
27,"Tenaya Capital, Coatue Management, Stripes Group",1039000000.0
18,"D1 Capital Partners, Stripe, Coatue Management",8270000000.0
28,"Bloomberg Beta, Founders Fund, First Round Capital",2237000000.0
17,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management",1314000000.0
85,"Union Square Ventures, Venrock, Andreessen Horowitz",671900000.0
15,"Tiger Global Management, Sequoia Capital, Revo Capital",1172000000.0
13,"Lightspeed Venture Partners, Social Capital, Accel",1040000000.0
24,"Sequoia Capital India, Tiger Global Management, Matrix Partners India",741620000.0
17,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers",844200000.0
32,"Menlo Ventures, Spark Capital, Union Square Ventures",1158000000.0
1,"Accel, Y Combinator, Index Ventures",0.0
13,"Norwest Venture Partners, Next World Capital, Wing Venture Capital",5830000000.0
13,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures",1040000000.0
15,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund",4000000000.0
16,"Tencent, Morningside Group",1786000000.0
28,"Benchmark, Greylock Partners, Tencent Holdings",979300000.0
27,"Initialized Capital, General Catalyst, SignalFire",1027000000.0
8,"General Atlantic, Goldman Sachs, New Enterprise Associates",8400000000.0
30,"Slack Fund, Accel, Skip Capital",920140000.0
12,"Sequoia Capital China, Warburg Pincus, General Catalyst",2121000000.0
7,"TA Associates, SoftBank Group, GS Growth",149500000.0
12,Technology Crossover Ventures,934320000.0
15,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers",447120000.0
36,"New Enterprise Associates, Accomplice, IA Ventures",1089000000.0
17,"Global Founders Capital, Nortzone Ventures, Picus Capital",524830000.00000006
23,"Union Square Ventures, Ribbit Capital, VY Capital",562500000.0
13,"Atomico, Insight Partners, Coatue Management",853850000.0
1,Barter Ventures,6450000000.0
29,"Thrive Capital, Benchmark, MenloVentures",4120000000.0
32,"Warmsun Holding, IDG Capital Partners",1414000000.0
2,"Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers",1420000.0
10,"Insight Partners, Sequoia Capital, Index Ventures",6000000000.0
28,"BlackRock, Blackstone, UBS",729220000.0
25,"Sequoia Capital India, Temasek, PayPal Ventures",1077000000.0
19,"Venrock, Battery Ventures, Insight Partners",4240000000.0
12,"NextView Ventures, Eniac Ventures, Sequoia Capital",864520000.0
12,"Alibaba Group, Boyu Capital, Borui Capital",2085000000.0
15,"Tencent, Baidu, Huasheng Capital",1701000000.0
14,"Technology Crossover Ventures, A&E Television Networks",1555000000.0
17,"Thrive Capital, Maverick Ventures, Redpoint Ventures",891300000.0
11,"Battery Ventures, Storm Ventures, Redpoint Ventures",4150000000.0
12,"Aglae Ventures, Eurazeo, Daphni",1021000000.0
4,"Blackstone, Technology Crossover Ventures, Summit Partners",792360000.0
8,"Nexus Venture Partners, CRV, Insight Partners",4330000000.0
8,"Matrix Partners, Andreessen Horowitz, General Catalyst",728020000.0
25,"Sequoia Capital China, IDG Capital, DCM Ventures",1093000000.0
7,"Founders Fund. Accel, Creandum",986880000.0
35,"DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures",2248000000.0
13,"Index Ventures, Battery Ventures, ICONIQ Capital",595900000.0
22,"Lightspeed Venture Partners, Google Ventures, Lakestar",490500000.0
5,Insight Partners,937290000.0
16,"Kaszek Ventures, General Atlantic, SoftBank Group",755740000.0
6,"China Life Insurance, China Development Bank Capital, CITIC Securities International",5000000000.0
13,"Ant Financial Services Group, GGV Capital",2701000000.0
19,"Andreessen Horowitz, Spark Capital, Y Combinator",625150000.0
23,"DST Global, Sequoia Capital China, Tencent Holdings",8020000000.0
10,"Runa Capital, Acton Capital Partners, Point Nine Capital",445510000.0
56,"Hillhouse Capital Management, Linear Venture, Morningside Venture Capital",2200000000.0
35,"Baidu Capital, Linear Venture, Tencent",5987000000.0
4,"General Atlantic, 3i Group, Huagai Capital",187260000.0
10,"Walden International, Google Ventures, Intel Capital",1132000000.0
9,"Accel, Technology Crossover Ventures, LeapFrog Investments",6920000000.0
10,"Clermont Group, Coltrane Asset Management, Toscafund Asset Management",990520000.0
10,"Insight Partners, Andalusian Capital Partners",990520000.0
14,"Matrix Partners India, Falcon Edge Capital, SoftBank Group",855550000.0
17,"Google Ventures, Benchmark, FirstMark Capital",632850000.0
17,"Alven Capital, Valar Ventures, Tencent Holdings",703390000.0
20,"SoftBank Group, Tiger Global Management, Matrix Partners India",822290000.0
12,"Eight Roads Ventures, Greycroft, Ignition Partners",371500000.0
18,"Capital One Growth Ventures, Citi Ventures, OMERS Ventures",614200000.0
26,"Venture Highway, Sequoia Capital India, Prosus Ventures",1061000000.0
1,"Oak HC/FT Partners, Artis Ventures, WestCap Group",0.0
25,"Kaszek Ventures, Amadeus Capital Partners, Quona Capital",867440000.0
16,"Creandum, Founders, Kinnevik",428800000.0
14,"Andreessen Horowitz, Founders Fund, Revolution Ventures",828500000.0
22,"Greylock Partners, Venrock, Providence Ventures",906130000.0
16,"Alven Capital, FirstMark Capital, capitalG",646600000.0
24,"Y Combinator, Accel, T. Rowe Price",5590000000.0
25,"General Catalyst, Viking Global Investors, T. Rowe Price",496040000.0
4,"Telling Telecommunication Holding Co., Alibaba Group",943100000.0
9,"Accel, Insight Partners, Burda Principal Investments",562230000.0
12,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures",975490000.0
22,"Two Sigma Ventures, Flint Capital, Commerce Ventures",648250000.0
2,"Passion Capital, Thrive Capital, Orange Digital Ventures",0.0
22,"CDH Investments, Goldstone Investments, Qiming Venture Partners",645600000.0
27,"Mayfield Fund, M12, Trinity Ventures",489780000.0
30,"Atop Capital, IDInvest Partners, Qiming Venture Partners",7890000000.0
18,"Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital",566900000.0
14,"Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors",498250000.0
24,"Benchmark, Accel, SoftBank Group",737080000.0
35,"Playground Global, Bond, Tribe Capital",1385000000.0
21,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings",971140000.0
25,"Addition, Benhcmark, Accel",366720000.0
