,Month,Company/Brand,Founded,Headquarters,Sector,Investor/s,Amount ($),Stage
0,December,CollegeDekho,2015.0,Gurgaon,E-learning,"Disrupt ADQ, QIC",35000000,Series B
1,December,BOX8,2012.0,Mumbai,Food & Beverages,Tiger Global,40000000,Pre-series B
2,December,Simpl,2015.0,Bangalore,Consumer Services,"Valar Ventures, IA Ventures",40000000,Series B
3,December,8i Ventures,2018.0,Mumbai,Venture Capital & Private Equity,,50000000,Pre-series B
4,December,PayGlocal,2021.0,Bangalore,Financial Services,Sequoia Capital India,4900000,Series A
5,December,Curefit,2016.0,Bangalore,"Health, Wellness & Fitness",Zomato,145000000,Pre-series B
6,December,Pocket FM,2018.0,Bangalore,OTT,"Lightspeed, Times Group, Tanglin Venture Partners",22000000,Series B
7,December,CHARGE+ZONE,2018.0,Vadodara,Automotive,Venture Catalysts,10000000,Pre-series B
8,December,PlanetSpark,2017.0,Gurugram,Education Management,"Binny Bansal, Deep Kalra, Dr Ashish Gupta, Gokul Rajaram, Shirish Nadkarni",13000000,Series B
9,December,LenDenClub,2015.0,Mumbai,Financial Services,"Tuscan Ventures, Ohm Stock Brokers, Artha Venture Fund",10000000,Series A
10,December,CometChat,2009.0,Mumbai,Computer Software,Signal Peak Ventures,10000000,Series A
11,December,AgroStar,2013.0,Pune,AgriTech,"Evolvence, Hero Enterprise",70000000,Series C
12,December,Bizongo,2015.0,Mumbai,Information Technology & Services,Tiger Global,100000000,Series C
13,December,Probus Insurance,2002.0,Mumbai,Insurance,BlueOrchard Impact Investment Managers,6700000,Pre-series B
14,December,MoEngage,2014.0,Bangalore,Software Startup,Steadview Capital,30000000,Series C
15,December,CloudSEK,2015.0,Bangalore,Computer & Network Security,MassMutual Ventures,7000000,Series A
16,December,Exponent Energy,2020.0,Bangalore,Automotive,YourNest VC,5000000,Pre-series A
17,December,Trinkerr,2021.0,Bangalore,Capital Markets,Accel India,6600000,Series A
18,December,Zorro,2021.0,Gurugram,Social network,"Vijay Shekhar Sharma, Ritesh Agarwal, Ankiti Bose",32000000,Seed
19,December,Ultraviolette,2021.0,Bangalore,Automotive,"TVS Motor, Zoho",150000000,Series C
20,December,NephroPlus,2009.0,Hyderabad,Hospital & Health Care,IIFL Asset Management,24000000,Series C
21,December,Unremot,2020.0,Bangalore,Information Technology & Services,Inflection Point Ventures,700000,Seed
